Titre du documentaire,Tags,Réalisateur.ice,Date,Liens,Pays
"A quoi rêvent les jeunes filles ","internet, sexe, sexualité féminine, sexualité.s",Ovidie,2014,,France
Ouvrir la voix,"femmes noires, féminisme intersectionnel, intersectionnalité, privilège blanc, racisme, racisme structurel",Amanda Gay,2017,,France
Hot girls wanted,"TDS, industrie pornographique, pornographie, travailleur.euse.s du sexe, violences, violences sexuelles","Jill Bauer, Ronna Gradus",2015,,Etats-Unis
"#Female Pleasure - Five cultures, Five women, One story","plaisir féminin, religion, sexualité féminine, sexualité.s",Barbara Miller,2019,,"Allemagne, Suisse"
Sexe sans consentement,"consentement, sexe, sexualité.s",Delphine Dhilly,2018,,France
Maya Angelou: and still I rise,Maya Angelou,"Rita Coburn Whack, Bob Hercules",2016,,Etats-Unis
MEUFS,"LGBTQIA+, corps, rapport à la féminité, règles, âgisme",Josepha Raphard,2018 2019 2020,,France
La domination masculine,"marketing genré, sociabilisation des enfants, stéréotypes, éducation",Patric Jean,2009,,France
L’école du genre,"sociabilisation des enfants, stéréotypes",Léa Domenach et Jean-Paul Guirardo,2015,https://ecoledugenre.com/,
Kreatur,"corps féminin, culture du viol, sport, éducation","ARTE ",2018,,"Allemagne, France"
Sois belle et tais-toi,"cinéma, contrôle des corps, corps, corps féminin, mannequinat",Delphine Seyrig,1976,,France
"De la chambre à coucher à l'Assemblée, la bataille de la pilule","lutte pour les droits des femmes, pilule, politique",Marie Guilloux,2017,,France
Harcèlement sexuel au travail : l'affaire de tous,"harcèlement au travail, harcèlement sexuel","Andrea Rawlins-Gaston, Laurent Follea",2017,,France
Les règles de notre liberté,"Inde, règles, tabou",Rayka Zehtabchi,2019,,"Etats-Unis, Inde"
Le slam est l’avenir du féminisme en Inde,"Inde, musique, slam","ARTE ",2016,,France
Coming out,"LGBT, LGBTQIA+, queer",Denis Parrot,2018,https://www.youtube.com/watch?v=bWE93c4FPmg,France
Gloria Allred : l'avocate des femmes,"droits civiques, lutte pour les droits des femmes, militantisme","Roberta Grossman, Sophie Sartain",2018,,Etats-Unis
Océan,"LGBT, LGBTQIA+, transidentités, transition","Océan ","2019, 2021",https://www.oceanocean.fr/les-films,France
"Daria Marx, ma vie en gros","gros.se, grossophobie","Daria Marx, Stéphanie Chevrier, Marie-Christine Gambart",2019,,France
Traquées,"cyberviolences, cyberviolences conjugales, violences conjugales",Marine Perrin,2020,https://youtu.be/xaPE-O44G3s,France
On achève bien les gros,"féminisme intersectionnel, grossophobie, injonctions, tabou",Gabrielle Deydier,2019,https://www.arte.tv/fr/videos/086161-000-A/on-acheve-bien-les-gros/,France
"Méduse, cheveux afro et autres mythes","afro, corps, corps féminin, femmes noires","Johanna Makabi, Adèle Albrespy,",2018,,France
"Les suffragettes, ni paillassons, ni prostituées","droit de vote des femmes, lutte pour les droits des femmes, militantisme, suffragettes",Michèle Dominici,2012,,France
Clit Révolution,"clitoris, corps, corps féminin, masturbation, pornographie, pornographie féministe, sexualité.s","Elvire Duvelle-Charles, Sarah Constantin",,https://www.france.tv/slash/clit-revolution/?at_medium=custom2&at_campaign=800&at_custom1=description&at_custom2=slash,France
Mariannes noires,"femmes noires, racisme, racisme structurel","Mame-Fatou Niang, Kaytie Nielsen",2016,https://www.mariannesnoires.com/accueil,"Etats-Unis, France"
Mutantes (Féminisme Porno Punk),"féminisme pro-sexe, performances, postpornographie, queer",Virginie Despentes,2009,,France
But What Was She Wearing?,"Inde, harcèlement au travail, harcèlement sexuel",Vaishnavi Sundar,2018,,Inde
Dysphorique : Fuir la féminité comme une maison en feu,"genre, personne transgenre, transidentités, transition",Vaishnavi Sundar,2021,,Inde
"Nos seins, nos armes ","activisme, corps, corps féminin, lutte pour les droits des femmes, militantisme, seins","Caroline Fourest, Nadia El Fani",2013,,France
