Titre du livre,Tags,Auteur.ice.s,Année,Pays,Genre littéraire
Pandorini,"#metoo,emprise,violences,violences sexuelles",Florence Porcel,2021,France,Roman autobiographique
En finir avec Eddy Bellegueule,"LGBT,LGBTQIA+,domination sociale,gay,homosexualité,reproduction sociale,transfuge de classe",Edouard Louis,2014,France,Roman autobiographique
Mémoire de fille,"patriarcat,sexisme,sexualité.s,tabou,viol,violences sexuelles",Annie Ernaux,2016,France,Roman autobiographique
Rassemblez-vous en mon nom,"activisme,maternité,militantisme",Maya Angelou,1974,Etats-Unis,Roman autobiographique
La familia grande,"agressions sexuelles,inceste,viol,violences sexuelles",Camille Kouchner,2021,France,Roman autobiographique
Petite,"anorexie,injonction à la minceur,troubles alimentaires",Geneviève Brisac,1994,France,Roman autobiographique
ZAMI : Une nouvelle façon d’écrire mon nom / Zami: A New Spelling of My Name,"LGBT,LGBTQIA+,féminisme afro-américain,féminisme intersectionnel,homophobie,lesbianisme,lesbienne,lesbophobie,queer,racisme",Audre Lorde,1998,France,Roman autobiographique
Je sais pourquoi l’oiseau chante en cage,"identité,pédocriminalité,racisme,traumatismes,viol,violences sexuelles",Maya Angelou,1969,Etats-Unis,Roman autobiographique
Je viens d’ailleurs,"Iran,droits des femmes,islam,révolution",Chahdortt Djavann,2005,"France,Iran",Autobiographie
Mutilée,"excision,mariage d'enfant,mariage forcé,violences sexuelles","Khady Koita,Marie-Thérèse Cuny",2006,"France,Sénégal",Autobiographie
Pour que je sois la dernière,"Yézidis,esclavage sexuel,violences sexuelles,État islamique","Jenna Krajeski,Nadia Murad",2018,Irak,Autobiographie
Fleur du désert : du désert de Somalie à l'univers des top-models,"excision,mannequinat,mariage arrangé,mariage d'enfant,mutilations génitales,mutilations sexuelles","Cathleen Miller,Waris Dirie",1998,"Autriche,Somalie",Autobiographie
Trigger Warning: My Lesbian Feminist Life,"activisme,activisme lesbien,féminisme radical,lesbienne,luttes féministes",Sheila Jeffreys,2020,Royaume-Uni,Autobiographie
Un cri du ventre,"endométriose,hystérectomie,maladie,maternité",Enora Malagre,2019,France,Autobiographie
Journal intime d’une féministe (noire),"afropéenne,femmes noires,maternité",Axelle Jah Njiké,2022,"Cameroun,France",Autobiographie
"Héroïques : amazones,pécheresses,révolutionnaires","Femen,activisme,féminisme radical,lutte des femmes,lutte pour les droits,luttes féministes,militantisme",Inna Shevchenko,2019,Ukraine,Autobiographie
Ne reste pas à ta place ! Comment arriver là où personne ne vous attendait,"femmes musulmanes,racisme,transfuge de classe",Rockaya Diallo,2019,France,Autobiographie
Je suis une sur deux,"viol,violences sexuelles",Giulia Foïs,2020,France,Autobiographie
Zone grise,"consentement,honte,viol,violences,violences sexuelles,zone grise",Loulou Robert,2020,France,Autobiographie
